date,open,high,low,close,volume
1/28/21,13,14.3,12.44,12.74,3493924
1/29/21,12.09,12.444,10.59,11.4,1223392
2/1/21,11.75,11.75,10.8,10.92,341977
2/2/21,10.93,15,10.93,14.2,1734742
2/3/21,14.52,19.1899,13.53,18.8,2399143
2/4/21,19.02,20.05,16.523,17.25,989373
2/5/21,17.7,20.89,16.28,19.76,1615221
2/8/21,20.33,21.24,18.7,19.81,763292
2/9/21,19.95,21.43,18.3,19.2,645599
2/10/21,21.0461,21.0461,17,18.89,671646
2/11/21,18.88,19.3,16.51,17.08,470054
2/12/21,15.85,19.25,15.07,18.94,1118220
2/16/21,18.5,18.5,15.69,16.01,1036516
2/17/21,14.26,14.65,13.66,13.84,4196159
2/18/21,13.8,14.5,13.15,14.49,942936
2/19/21,15,15.5,14.03,14.03,1178892
2/22/21,13.964,14.23,12.62,12.66,1019004
2/23/21,12.15,13.25,11.5,12.9,1743304
2/24/21,13.01,13.25,12.36,12.4,676241
2/25/21,12.13,12.73,11.85,12.04,662404
2/26/21,11.8,13.25,11.51,12.82,1213533
3/1/21,13.2,13.48,12.68,12.89,1154524
3/2/21,12.81,14,12.5501,12.67,1712463
3/3/21,12.67,13.0799,12,12.25,941670
3/4/21,11.96,12.298,11,11.56,902681
3/5/21,11.5,13.15,11.34,12.9,1617137
3/8/21,12.7135,13.29,12.5,12.5,501293
3/9/21,12.59,13.19,12.56,13.14,332291
3/10/21,13.2,13.25,12.75,12.98,393656
3/11/21,13.1,13.95,12.9,13.15,1030004
3/12/21,12.9,13.33,12.6,13.24,377148
3/15/21,12.93,14.09,12.8,13.99,490850
3/16/21,14.13,14.3196,12.62,12.88,570008
3/17/21,12.85,12.99,12.33,12.5,364238
3/18/21,12.58,12.9,11.36,11.51,412704
3/19/21,11.86,12.3,11.62,11.92,1260391
3/22/21,11.98,13.24,11.98,12.55,557573
3/23/21,12.55,12.8699,11.8,11.89,242433
3/24/21,12.03,13.1,11.8977,12.65,411323
3/25/21,12.2,12.23,11.67,12,265713
3/26/21,11.91,12.11,11.54,11.65,222183
3/29/21,11.81,12.35,11.7,11.87,120525
3/30/21,11.78,12,11.56,11.85,129546
3/31/21,11.97,12.6125,11.87,12.48,387676
4/1/21,12.93,12.9965,12.3,12.62,369235
4/5/21,13,13.5,12.75,13.45,325068
4/6/21,13.57,13.5799,13.16,13.5,274548
4/7/21,13.5,14.15,12.8,12.95,243679
4/8/21,13.07,13.14,12.53,12.92,134933
4/9/21,12.9,13.12,12.59,12.63,192198
4/12/21,12.59,12.9,12.16,12.27,227018
4/13/21,12.27,12.56,11.76,11.91,288697
4/14/21,12.05,12.1963,11.85,12.07,88109
4/15/21,12.17,12.29,11.515,11.98,168235
