date,open,high,low,close,volume
9/26/96,7.2946,7.7091,7.0459,7.666,13872600
9/27/96,7.5831,7.7091,7.5433,7.6262,2223600
9/30/96,7.666,8.1633,7.6262,8.1235,1596000
10/1/96,8.2064,8.4551,8.1633,8.412,864000
10/2/96,8.7038,8.7038,8.3291,8.3722,473600
10/3/96,8.2893,8.2893,7.8748,7.8748,573600
10/4/96,7.8748,7.8748,7.3775,7.4173,708200
10/7/96,7.3344,7.7919,7.2946,7.666,688600
10/8/96,7.7091,7.7091,7.5002,7.666,723200
10/9/96,7.6262,7.666,7.5433,7.6262,185600
10/10/96,7.6262,7.7091,7.5831,7.666,439200
10/11/96,7.6262,7.666,7.5433,7.5433,181200
10/14/96,7.5433,7.9146,7.5002,7.9146,268400
10/15/96,7.9146,8.2064,7.9146,8.1633,361600
10/16/96,8.1235,8.1235,8.0406,8.1235,319600
10/17/96,8.1235,8.9525,8.1235,8.7038,411800
10/18/96,8.6607,8.6607,8.5778,8.6209,175600
10/21/96,8.6209,8.8696,8.4551,8.4949,399400
10/22/96,8.4551,8.4551,7.9577,7.9577,197000
10/23/96,7.9577,7.9577,7.6262,7.7091,188800
10/24/96,7.7091,7.7488,7.6262,7.7488,163600
10/25/96,7.7488,7.9146,7.7488,7.9146,140600
10/28/96,7.8748,7.8748,7.4206,7.5002,258400
10/29/96,7.2946,7.6262,7.2117,7.5433,488800
10/30/96,7.6676,8.165,7.6262,8.1235,182200
10/31/96,7.3775,7.3775,7.2548,7.2946,503200
11/1/96,8.2064,8.4551,8.165,8.4136,365400
11/4/96,7.8748,7.8748,7.3775,7.4189,96400
11/5/96,7.2946,7.5864,7.2946,7.5433,618800
11/6/96,7.5002,7.5433,7.4206,7.4206,212800
11/7/96,7.336,7.7919,7.2946,7.6676,287600
11/8/96,7.6676,7.7091,7.5018,7.6676,216200
11/11/96,7.6262,7.6676,7.5433,7.5433,62000
11/12/96,7.7522,7.7522,7.4604,7.5002,116400
11/13/96,7.4206,7.4206,7.2946,7.3775,38800
11/14/96,7.5433,7.9163,7.5018,7.9163,513400
11/15/96,7.9163,8.2064,7.9163,8.165,540200
11/18/96,8.6623,8.6623,8.5794,8.6209,477000
11/19/96,7.2946,7.4604,6.9232,6.9232,1090800
11/20/96,6.963,6.963,6.3397,6.5054,965400
11/21/96,8.6209,8.8696,8.4551,8.4965,853200
11/22/96,8.3308,8.4551,7.9577,7.9577,486600
11/25/96,7.7505,7.9163,7.7505,7.9163,100400
11/26/96,6.1341,6.1739,6.0081,6.0943,91000
11/27/96,6.0512,6.0943,6.0081,6.0943,102000
11/29/96,7.2946,7.6262,7.2117,7.5433,25400
12/2/96,6.1739,6.7972,6.1739,6.7143,245400
12/3/96,6.7574,6.837,6.5486,6.6314,241400
12/4/96,7.2946,7.336,7.1703,7.2117,115600
12/5/96,7.4189,7.5847,7.2946,7.5433,118800
12/6/96,7.5018,7.5433,7.4189,7.4189,180800
12/9/96,6.5054,6.5917,6.4657,6.5917,38600
12/10/96,6.5486,6.5486,6.4259,6.4657,63400
12/11/96,7.8748,7.9163,7.7919,7.7919,59800
12/12/96,7.7091,7.7505,7.4604,7.5018,54800
12/13/96,7.3775,7.4189,7.2946,7.3775,17600
12/16/96,6.1341,6.1341,5.9683,5.9683,36800
12/17/96,5.8854,5.9285,5.6765,5.6765,78400
12/18/96,7.0045,7.1288,6.9216,7.1288,46600
12/19/96,7.2946,7.4604,6.9216,6.9216,115600
12/20/96,6.8801,6.963,6.3413,6.5071,500200
12/23/96,5.4709,5.5107,5.3881,5.5107,448000
12/24/96,5.5538,5.9683,5.5538,5.8854,268000
12/26/96,6.1341,6.1755,6.0097,6.0926,147600
12/27/96,6.0512,6.0926,6.0097,6.0926,99200
12/30/96,5.5107,5.5538,5.3449,5.4312,131200
12/31/96,5.4312,5.4709,5.3881,5.4709,127200
1/2/97,5.4709,5.514,5.3483,5.4312,56200
1/3/97,5.4312,5.4709,5.3483,5.4312,52000
1/6/97,5.3483,5.3881,4.3535,4.4762,924800
1/7/97,4.4762,4.4762,4.2275,4.3104,1021600
1/8/97,4.3104,4.4762,4.1878,4.1878,465000
1/9/97,4.8078,4.8078,4.6022,4.7249,1101600
1/10/97,4.8509,5.514,4.768,5.3483,856800
1/13/97,5.3881,5.3881,5.3052,5.3483,66600
1/14/97,5.3052,5.3052,5.0996,5.0996,130200
1/15/97,5.0996,5.1394,4.8907,4.9338,358000
1/16/97,4.9736,5.0996,4.9736,5.0167,141800
1/17/97,5.0167,5.2223,4.9736,5.2223,234400
1/20/97,5.2223,5.2654,5.2223,5.2223,67400
1/21/97,5.2223,5.2223,5.1394,5.1825,106000
1/22/97,5.1825,5.1825,5.0565,5.0996,130200
1/23/97,4.9736,5.0996,4.9736,4.9736,65200
1/24/97,4.9736,5.0167,4.8907,4.9736,143000
1/27/97,4.9736,4.9736,4.768,4.8078,139000
1/28/97,4.8078,4.8078,4.6851,4.7249,198400
1/29/97,4.7249,4.768,4.6851,4.7249,343600
1/30/97,4.8078,4.8907,4.6022,4.6851,440800
1/31/97,4.642,4.8078,4.5591,4.5591,558600
2/3/97,4.5193,4.5193,4.3104,4.3933,905600
2/4/97,4.3933,4.6022,4.1447,4.5591,477200
2/5/97,4.5591,4.7249,4.4762,4.5193,751200
2/6/97,4.4762,4.5591,4.3933,4.5193,118400
2/7/97,4.5193,4.5591,4.5193,4.5193,50800
2/10/97,4.5193,4.5591,4.3535,4.4762,119000
2/11/97,4.4762,4.4762,4.3933,4.4364,77600
2/12/97,4.4364,4.5591,4.4364,4.4762,227000
2/13/97,5.0167,5.0565,4.768,4.8509,1221800
2/14/97,4.9338,4.9736,4.8509,4.9736,585600
2/18/97,4.8907,4.9736,4.8509,4.8907,96600
2/19/97,4.9338,5.1394,4.8509,5.0565,373800
2/20/97,5.0996,5.2223,5.0565,5.1825,432200
2/21/97,5.3052,5.5969,5.1825,5.514,619200
2/24/97,5.514,5.8456,5.514,5.8456,644800
2/25/97,5.9683,6.0943,5.7196,5.7196,610600
2/26/97,5.7627,5.8025,5.7196,5.7196,170000
2/27/97,5.8025,5.8456,5.7196,5.7627,231400
2/28/97,5.7196,5.7627,5.6367,5.7627,148800
3/3/97,5.6798,5.7196,5.5969,5.5969,537200
3/4/97,5.5969,5.6367,5.5538,5.5969,215800
3/5/97,5.5969,5.6367,5.514,5.514,137800
3/6/97,5.4709,5.5969,5.4709,5.5969,434400
3/7/97,5.5538,5.5969,5.5538,5.5538,57200
3/10/97,5.514,5.5969,5.4709,5.514,93200
3/11/97,5.4709,5.514,5.4709,5.4709,53000
3/12/97,5.4709,5.5969,5.3881,5.5538,302200
3/13/97,5.4709,5.5538,5.3881,5.3881,88400
3/14/97,5.4709,5.514,5.3881,5.4312,52400
3/17/97,5.3881,5.5538,5.3483,5.514,241800
3/18/97,5.5538,5.5538,5.2654,5.514,35400
3/19/97,5.4312,5.4709,5.3483,5.3483,42200
3/20/97,5.3483,5.3483,5.2223,5.2654,185400
3/21/97,5.3052,5.3483,5.2223,5.2654,57000
3/24/97,5.2654,5.3052,5.1394,5.2654,113600
3/25/97,5.2223,5.3052,5.2223,5.2223,47400
3/26/97,5.2223,5.2654,5.1394,5.1394,131000
3/27/97,5.1394,5.1394,5.0167,5.0996,64400
3/31/97,5.0565,5.0996,5.0167,5.0565,72400
4/1/97,4.9338,5.0996,4.8078,4.8509,112800
4/2/97,4.8509,4.9338,4.768,4.8907,140200
4/3/97,4.8078,4.8509,4.642,4.642,194400
4/4/97,4.6022,4.9736,4.6022,4.9736,101600
4/7/97,5.0167,5.0996,4.9736,5.0167,42800
4/8/97,5.0167,5.0565,4.8907,4.8907,74800
4/9/97,4.9338,4.9338,4.8509,4.8509,46400
4/10/97,4.8907,4.8907,4.7249,4.8078,59400
4/11/97,4.8078,4.8078,4.642,4.642,55800
4/14/97,4.5193,4.6851,4.2275,4.3104,269000
4/15/97,4.3104,4.3535,4.2707,4.3535,1060800
4/16/97,4.3104,4.3104,4.2707,4.2707,92800
4/17/97,4.4364,4.6022,4.3104,4.4364,346800
4/18/97,4.4364,4.4364,4.3104,4.4364,32200
4/21/97,4.4364,4.4364,4.3535,4.3535,114000
4/22/97,4.4762,4.642,4.3933,4.642,597600
