date,open,high,low,close,volume
2/8/07,21,28.6,20.55,28.47,19190700
2/9/07,28.5,31.09,27.6,29.25,3288700
2/12/07,29.6,30,27.85,28.55,981100
2/13/07,29,29.4,26.77,27.61,1350100
2/14/07,27.6,28.2,26.59,26.62,840300
2/15/07,26.55,27.5,26.05,26.4,695000
2/16/07,26.49,27.4,26.2,27.25,608400
2/20/07,27.36,28.03,27.3,27.65,286700
2/21/07,28.08,28.08,27.35,27.95,316500
2/22/07,28,28,26.51,27.27,507300
2/23/07,27.12,27.4,26.75,27.01,225900
2/26/07,27.39,27.39,26.42,26.65,318900
2/27/07,26.04,26.5,25.5,25.76,573100
2/28/07,25.7,26.3,25.01,25.48,473600
3/1/07,25,25.32,24.06,25.2,641500
3/2/07,24.88,25,24.05,24.25,403700
3/5/07,24.05,25.14,24.02,24.32,477800
3/6/07,24.75,24.75,24,24.39,288100
3/7/07,24.48,25.45,24.32,24.61,245800
3/8/07,24.87,25.272,24.78,24.86,89300
3/9/07,25.35,26.36,24.5,25.87,341200
3/12/07,25.99,26.16,25.15,25.5,240100
3/13/07,25.76,25.96,24.58,24.75,225800
3/14/07,24.7,25.04,24.5,24.8,214300
3/15/07,25.05,25.05,24,24.51,250600
3/16/07,21.469,23.72,19.66,23.6,2304600
3/19/07,23.78,24.15,23.65,24.08,523700
3/20/07,24,24.09,21.66,21.75,1248000
3/21/07,21.9,21.98,19.79,21.18,1534400
3/22/07,21.05,22.5,20.73,22.39,761500
3/23/07,22.44,22.77,22.18,22.7,284700
3/26/07,22.75,22.75,21.92,22.23,185100
3/27/07,22.6,23.03,22.3,22.85,172600
3/28/07,23.07,23.08,22.65,22.85,174700
3/29/07,23.12,23.19,22.18,22.31,208600
3/30/07,22.35,25.2,22.15,22.24,1552400
4/2/07,22.44,22.5,21.66,22.03,397900
4/3/07,22.3,22.57,21.9401,22.41,167600
4/4/07,22.54,22.7,22.13,22.49,190500
4/5/07,22.6,23.35,22.34,23.24,207000
4/9/07,23.48,24.24,22.9,24.03,564400
4/10/07,24,24.03,23.44,23.58,553400
4/11/07,23.68,23.68,23.18,23.36,172200
4/12/07,24.05,24.05,23.28,23.78,384400
4/13/07,23.8,24.64,23.26,23.96,278000
4/16/07,23.9,24.73,23.9,24.4,133500
4/17/07,24,24.42,23.91,24.31,76200
4/18/07,24.15,24.27,23.5,23.58,256100
4/19/07,23.61,23.78,23.23,23.28,123600
4/20/07,23.46,23.49,23.12,23.21,208000
4/23/07,23.25,23.49,23.19,23.43,100100
4/24/07,23.48,23.9,23.31,23.801,357300
4/25/07,23.8,23.88,22.94,22.99,188900
4/26/07,22.91,23.11,22.34,23.11,126200
4/27/07,23.12,23.2,23,23.09,85500
4/30/07,23.19,24.65,23.14,23.6,598500
5/1/07,23.7,23.774,22.8501,23.2375,442400
5/2/07,24,26.1,23.93,25.62,1658000
5/3/07,25.74,25.95,25.21,25.49,728400
5/4/07,25.6,26,25.33,25.69,225500
5/7/07,25.64,26.22,25.56,26.12,173200
5/8/07,26.14,27.56,26.1,27.38,368800
5/9/07,27.58,27.58,26.48,26.83,289200
5/10/07,26.7,26.74,24.54,25,511000
5/11/07,25.19,25.35,24.6,24.95,215100
5/14/07,24.88,24.9699,24,24.71,192000
5/15/07,23.67,24.59,23.47,24,560500
5/16/07,24,24.3,23.6,24.3,218300
5/17/07,24.1,24.1,23,23.25,358300
5/18/07,23.36,24.71,23.35,23.73,550400
5/21/07,23.79,24.83,23.68,24.34,241300
5/22/07,24.33,24.53,24.01,24.02,263600
5/23/07,24.01,25.12,24,24.38,303100
5/24/07,24.29,24.69,23.6,24.24,213100
5/25/07,24.29,24.29,23.95,24.14,135400
5/29/07,24.2,24.32,23.8,23.83,380900
5/30/07,23.65,23.82,23.5,23.68,153000
5/31/07,23.51,23.81,22.25,23,352500
6/1/07,23.42,24.31,23.11,23.33,203100
6/4/07,23.16,23.51,23.04,23.38,127700
6/5/07,23.27,23.54,23.18,23.41,269900
6/6/07,23.3,23.62,23.13,23.5,97300
6/7/07,23.6,23.72,23.35,23.37,132500
6/8/07,23.45,24,23.35,23.69,336100
6/11/07,23.54,23.54,21.7,22.4,1139600
6/12/07,22.2,22.2,21.57,21.84,482700
6/13/07,21.79,21.96,21.54,21.57,107500
6/14/07,21.71,22.11,21.62,21.99,118200
6/15/07,22.26,22.69,22.08,22.61,198500
6/18/07,22.58,22.6,21.99,22.13,85900
6/19/07,22.59,23,22.19,22.7,332400
6/20/07,22.76,22.76,22.1,22.54,302700
6/21/07,22.45,23.23,22.45,22.86,353600
6/22/07,22.89,22.89,22.35,22.55,494000
6/25/07,22.53,22.87,22.15,22.2,188100
6/26/07,22.35,22.35,21.69,21.94,112200
6/27/07,21.86,21.86,21.5,21.83,103000
6/28/07,21.83,22.91,21.64,22.83,284100
6/29/07,22.9,22.9,22.04,22.18,217200
7/2/07,22.31,22.86,22.25,22.86,231100
7/3/07,22.87,22.9,22.16,22.23,44900
7/5/07,22.2,22.25,20.85,21.5,495700
7/6/07,21.57,22.32,21.5501,22.24,339800
7/9/07,22.34,22.92,22.3,22.5,328800
7/10/07,22.29,22.29,21.29,21.42,131500
7/11/07,21.25,21.38,20.958,21.05,296200
7/12/07,21.25,21.25,20.17,20.18,449900
7/13/07,20.08,20.45,19.79,20.19,314600
7/16/07,20.2,20.21,19.71,20,380100
7/17/07,19.87,20.19,18.88,19,1552300
7/18/07,18.99,19.2,18.65,19,346000
7/19/07,19.1,19.1,17.95,18.09,1109300
7/20/07,18,18.49,17.81,18.4,431000
7/23/07,18.55,19.73,18.5,18.85,1533300
7/24/07,18.82,19.31,18.41,18.46,484500
7/25/07,18.58,19.12,18.57,18.92,426200
7/26/07,18.84,18.84,18.08,18.15,691200
7/27/07,18.2,18.28,17.85,18.05,404400
7/30/07,18.05,18.92,18.01,18.79,417000
7/31/07,19.06,20,18.83,18.91,457800
8/1/07,18.98,20.39,18.87,19.11,276700
8/2/07,19.28,19.62,18.82,19.52,271200
8/3/07,19.58,19.58,18.52,18.82,319500
8/6/07,18.93,20.3,18.63,19.86,580000
8/7/07,19.81,20.53,19.15,20.18,252600
8/8/07,20.42,22.05,19.95,20.71,609600
8/9/07,20.75,21.64,20.22,20.83,739400
8/10/07,20.75,21.0299,19.45,20.74,223400
8/13/07,21.08,21.47,20.18,20.23,252800
8/14/07,20.15,20.42,19.83,19.83,209900
8/15/07,19.74,20.23,19.4,19.42,307500
8/16/07,19.4,19.4465,16.95,18.07,861200
8/17/07,18.25,18.27,12.9,13.45,4535800
8/20/07,13.92,14.17,13.51,13.75,883700
8/21/07,13.71,13.84,13.27,13.54,364200
8/22/07,13.54,13.79,13.08,13.18,429900
8/23/07,13.21,13.33,12.6401,12.8,631500
