date,open,high,low,close,volume
1/23/07,25,26.22,22.6,23.93,6804600
1/24/07,24.252,24.38,23.7,23.9,770200
1/25/07,23.99,24.09,23.07,23.6009,348700
1/26/07,23.82,23.9,23.16,23.16,244900
1/29/07,23.2,23.83,22.77,22.88,339200
1/30/07,22.81,23.19,22.78,22.95,267000
1/31/07,23.17,23.53,22.7,22.87,372600
2/1/07,22.89,22.9701,21.9,22.14,384700
2/2/07,21.93,22.288,21.9,22.07,164500
2/5/07,21.9,22.1,21.75,21.75,292700
2/6/07,21.73,22.4,21.52,21.95,220200
2/7/07,21.81,22.37,21.81,22.05,332500
2/8/07,22.38,22.4,22,22.03,86100
2/9/07,22,22.09,21.63,21.82,180700
2/12/07,21.83,21.83,21.12,21.25,136900
2/13/07,21.1,21.75,21,21.23,123500
2/14/07,21.11,21.3,20.87,21.042,180900
2/15/07,20.86,21.3,20.65,20.82,113100
2/16/07,20.7,21.17,20.5,21.07,169000
2/20/07,20.9,22,20.9,21.72,160600
2/21/07,22.5,22.85,21.84,22.1301,488300
2/22/07,22.1,22.98,22.1,22.7701,201400
2/23/07,23,23.18,22.53,23.1,112000
2/26/07,23.25,23.5,22.66,22.75,138000
2/27/07,22.41,22.48,21.29,21.98,232100
2/28/07,21.63,21.95,21.2,21.27,220500
3/1/07,21.08,21.9,20.88,21.75,99200
3/2/07,21.5,22.25,21.4,22,62400
3/5/07,21.51,21.76,20.9,21,188200
3/6/07,20.91,21.34,20.66,21.01,157200
3/7/07,21,21.0499,20.65,20.76,97200
3/8/07,20.82,21.49,20.71,21.43,110900
3/9/07,23.27,24.25,22.31,23.5,1033100
3/12/07,23.91,23.91,22.5,23.49,223500
3/13/07,22.6,23.85,22.5901,23.29,244500
3/14/07,23.75,23.89,22.62,23.47,98900
3/15/07,23.9,24.25,23.37,23.5,193500
3/16/07,23.5,23.61,23.01,23.11,48400
3/19/07,23.2,24.0699,22.96,23.98,98900
3/20/07,24,24.5,23.55,23.77,133700
3/21/07,23.5,23.95,23.31,23.58,62300
3/22/07,23.5499,23.6694,23.15,23.61,69300
3/23/07,23.7,23.97,23.47,23.82,64200
3/26/07,23.96,23.96,23.37,23.42,52200
3/27/07,23.33,23.75,23.22,23.4,78300
3/28/07,23.25,23.55,22.64,23.21,82700
3/29/07,23.26,23.73,23.2,23.63,215100
3/30/07,23.75,23.95,22.8,22.86,629000
4/2/07,22.77,23.09,21.8701,22.4,183300
4/3/07,22.58,22.96,22.4,22.89,128600
4/4/07,22.93,23.05,22.77,22.94,64700
4/5/07,23,23.02,22.59,23,80400
4/9/07,22.94,23.12,22.6,22.83,124200
4/10/07,22.74,23.21,22.63,22.83,90300
4/11/07,22.7,22.76,22,22.32,111100
4/12/07,22.4,22.89,22.37,22.5,66500
4/13/07,22.34,22.6999,22.15,22.5,54600
4/16/07,22.5,22.93,22.5,22.77,37000
4/17/07,22.97,23.71,22.89,23.63,129000
4/18/07,23.62,23.7,23.266,23.46,48900
4/19/07,23.02,23.45,22.86,23.37,49100
4/20/07,23.64,23.69,22.87,23.2,51600
4/23/07,23.07,23.3399,22.7882,22.91,28900
4/24/07,22.76,22.88,22.2796,22.88,65300
4/25/07,22.89,23.23,22.5,22.9299,51700
4/26/07,22.8,22.82,22.55,22.68,31700
4/27/07,22.44,22.48,22.13,22.22,82100
4/30/07,22.22,22.22,21.17,21.4,230400
5/1/07,21.4,21.65,21.2,21.52,62000
5/2/07,21.54,21.93,21.25,21.37,120000
5/3/07,21.41,22,21.41,21.68,67100
5/4/07,21.63,22.07,21.63,22.04,61100
5/7/07,22,22.39,21.85,22.31,80600
5/8/07,22.11,22.6,22.1,22.6,73800
5/9/07,22.61,22.61,21.64,22.26,154000
5/10/07,22.07,22.1,21.17,21.24,108600
5/11/07,21.08,21.69,20.95,21.62,49200
5/14/07,21.65,21.89,20.83,20.89,122600
5/15/07,21,21.04,20.39,20.44,84800
5/16/07,20.38,20.98,20.38,20.98,83200
5/17/07,20.86,21.2,20.75,20.86,68200
5/18/07,20.96,20.96,20.7039,20.89,37000
5/21/07,20.85,21.25,20.85,21,50100
5/22/07,20.89,21.47,20.89,21.34,64400
5/23/07,21.24,21.74,20.81,20.94,36300
5/24/07,20.88,21.1,20.4,20.45,77400
5/25/07,20.63,20.95,20.379,20.56,121300
5/29/07,20.73,21.12,20.73,21.12,66700
5/30/07,20.97,21.28,20.78,21.21,63400
5/31/07,21.11,21.35,20.5,20.76,93600
6/1/07,21,21,20.05,20.48,124000
6/4/07,20.91,21.33,20.7299,21.32,119500
6/5/07,21.39,21.76,21.08,21.54,65200
6/6/07,21.3,21.54,21,21.36,49100
6/7/07,21.3,21.35,20.8,20.82,69800
6/8/07,20.66,20.66,20.33,20.41,102500
6/11/07,20.45,20.59,20.1,20.48,66700
6/12/07,20.4,20.88,20.12,20.75,75700
6/13/07,20.7199,22.22,20.52,22.01,169300
6/14/07,22,23.25,21.93,22.52,179900
6/15/07,22.9,23.42,22.58,23.39,127300
6/18/07,23.31,23.43,22.93,23.17,50400
6/19/07,23.085,23.16,22.36,22.63,80500
6/20/07,22.63,23.2,22.13,22.25,111900
6/21/07,22.08,22.74,22,22.38,98600
6/22/07,22.38,22.5,21.9594,22.18,140700
6/25/07,22.22,22.22,21.53,21.72,69800
6/26/07,21.55,23,21.55,22.75,144400
6/27/07,22.15,22.4,20.5,22.16,233800
6/28/07,22.2,22.6,20.9836,21,171300
6/29/07,21.12,21.3,20.55,20.61,128800
7/2/07,20.79,21.05,20.79,20.92,165300
7/3/07,21.1,21.1,20.5,20.56,50500
7/5/07,20.66,21.05,20.63,20.99,88300
7/6/07,21,21.33,20.72,21.24,180400
7/9/07,21.24,21.8,21.24,21.73,46400
7/10/07,21.8,21.95,21.06,21.1,115900
7/11/07,21.07,21.16,20.5,20.7,101300
7/12/07,20.66,20.73,20.41,20.48,148000
7/13/07,20.41,20.62,19.76,20,199400
7/16/07,20.28,21.43,20.02,21.1,185500
7/17/07,21.12,21.69,20.85,21.65,133600
7/18/07,21.39,22.58,21.032,22.58,193200
7/19/07,22.5,22.5,21.56,22.32,248900
7/20/07,22.13,22.26,21.5,21.68,96300
7/23/07,21.78,21.78,19.8101,20.92,504200
7/24/07,20.62,21,20.55,20.65,107800
7/25/07,20.94,20.98,20.55,20.95,92100
7/26/07,20.85,20.85,20.41,20.58,134000
7/27/07,20.5,20.83,20,20.05,106800
7/30/07,20.04,20.16,19.84,19.95,96900
7/31/07,20,20.3,19.55,19.59,94300
8/1/07,19.5,19.6587,17.97,18.43,270400
8/2/07,18.5,18.97,18.08,18.65,182300
8/3/07,18.54,19.59,18.54,18.91,151700
8/6/07,18.81,20.75,18.81,20.28,174300
8/7/07,20.25,20.51,19.58,20.26,205600
8/8/07,20.41,20.8,20.41,20.8,162400
8/9/07,20.4,21,20.01,20.31,105400
8/10/07,19.9,20.48,19.5,19.89,68700
8/13/07,19.35,20.36,19.31,19.61,37900
8/14/07,19.56,19.89,19.31,19.47,50000
8/15/07,19.45,20.16,19.33,19.44,35600
8/16/07,19.35,19.89,18.95,19.82,88000
8/17/07,20.22,20.31,18.15,19.85,73200
8/20/07,19.25,19.42,18.75,19.07,106600
8/21/07,19.15,19.6,18.74,18.93,128100
8/22/07,19.08,19.49,18.96,19.04,30000
8/23/07,19.21,19.37,18.84,19.06,49300
8/24/07,18.94,19.33,18.94,19.17,41800
8/27/07,18.89,19.8,18.89,19.78,77300
8/28/07,19.57,20.05,19.54,19.56,48200
8/29/07,19.75,19.95,19.03,19.9,80100
8/30/07,19.63,19.83,19.29,19.6,66300
8/31/07,19.91,20.02,19.53,19.76,77100
9/4/07,19.42,20.27,19.42,19.91,150200
9/5/07,20,20.39,19.5,19.91,162900
9/6/07,20.92,21.1,19.66,20.04,267600
9/7/07,19.7,20.5,19.7,20.29,187300
9/10/07,20.12,20.52,19.8,20.08,199100
9/11/07,20.2,20.49,19.93,20.21,172000
9/12/07,20.06,20.52,20.06,20.4,62400
9/13/07,20.59,20.59,20.25,20.45,66000
9/14/07,20.23,20.44,20.05,20.2,299100
9/17/07,19.94,20.18,19.87,20.11,88300
9/18/07,20.06,21.07,20.01,20.94,125500
9/19/07,21.07,21.08,20.85,21.02,76400
9/20/07,21,21.68,20.9,21.5,65700
9/21/07,21.67,21.98,21.57,21.97,79200
9/24/07,21.63,21.98,21.45,21.62,89200
9/25/07,21.51,22.75,21.51,22.43,322500
9/26/07,22.48,24.68,22.48,24.3,670500
9/27/07,24.67,24.67,22.74,23.26,478300
9/28/07,22.74,23.23,22.74,23.01,144700
10/1/07,22.96,24,22.5,23.62,251200
10/2/07,23.63,24.7,23.63,24.49,259700
10/3/07,24.49,24.49,23.85,24.06,142600
10/4/07,24.16,24.9,24.1101,24.73,99100
10/5/07,24.87,24.95,24.4,24.86,177700
10/8/07,24.54,25.19,24.54,25.19,175600
10/9/07,25,26.93,24.9,26.09,423000
10/10/07,25.83,26.25,25.06,26.24,225700
10/11/07,26.15,26.2,25.2,25.51,181400
10/12/07,25.44,25.65,25.01,25.5299,179500
10/15/07,25.29,25.53,24.63,25.17,98700
10/16/07,25.17,25.17,24,24.75,129200
10/17/07,25.07,25.25,24.15,24.28,156800
10/18/07,24.2,24.31,23.65,23.75,241000
10/19/07,23.62,24.06,23.53,23.8,135200
10/22/07,23.46,24.8,23.22,24.77,162700
10/23/07,25,25.17,24.32,24.99,98600
10/24/07,25,25.21,24.43,25.16,100800
10/25/07,25.26,26.15,25.01,25.87,119200
10/26/07,26.09,26.75,25.25,25.5,125700
10/29/07,25.6,26.23,25,25.95,105800
10/30/07,25.95,26.22,25.43,25.69,55900
10/31/07,25.69,25.79,24.67,25.73,65200
11/1/07,25.5,25.73,24.01,24.11,114700
11/2/07,24.25,24.75,23.43,24.66,79000
11/5/07,23.32,25.22,23.31,24.59,94300
11/6/07,24.71,25.57,24.45,25.17,167500
11/7/07,24.94,25.71,24.65,25.18,104000
11/8/07,25.49,25.49,23.64,23.93,101600
11/9/07,23.88,23.88,22.64,23.04,113700
11/12/07,22.54,24.2,22.36,23.42,79700
11/13/07,23.62,24.05,23.51,23.81,77300
11/14/07,24.17,24.96,24.11,24.75,66700
