date,open,high,low,close,volume
12/12/80,0.1012,0.1016,0.1012,0.1012,469033600
12/15/80,0.0964,0.0964,0.0959,0.0959,175884800
12/16/80,0.0893,0.0893,0.0889,0.0889,105728000
12/17/80,0.091,0.0915,0.091,0.091,86441600
12/18/80,0.0937,0.0941,0.0937,0.0937,73449600
12/19/80,0.0994,0.0999,0.0994,0.0994,48630400
12/22/80,0.1043,0.1047,0.1043,0.1043,37363200
12/23/80,0.1087,0.1091,0.1087,0.1087,46950400
12/24/80,0.1144,0.1148,0.1144,0.1144,48003200
12/26/80,0.1249,0.1253,0.1249,0.1249,55574400
12/29/80,0.1267,0.1271,0.1267,0.1267,93161600
12/30/80,0.124,0.124,0.1236,0.1236,68880000
12/31/80,0.1205,0.1205,0.1201,0.1201,35750400
1/2/81,0.1214,0.1223,0.1214,0.1214,21660800
1/5/81,0.1192,0.1192,0.1188,0.1188,35728000
1/6/81,0.1139,0.1139,0.1135,0.1135,45158400
1/7/81,0.1091,0.1091,0.1087,0.1087,55686400
1/8/81,0.1069,0.1069,0.1065,0.1065,39827200
1/9/81,0.1122,0.1126,0.1122,0.1122,21504000
1/12/81,0.1122,0.1122,0.1113,0.1113,23699200
1/13/81,0.1078,0.1078,0.1073,0.1073,23049600
1/14/81,0.1078,0.1082,0.1078,0.1078,14291200
1/15/81,0.11,0.1108,0.11,0.11,14067200
1/16/81,0.1095,0.1095,0.1091,0.1091,13395200
1/19/81,0.1157,0.1161,0.1157,0.1157,41574400
1/20/81,0.1126,0.1126,0.1122,0.1122,30083200
1/21/81,0.1144,0.1152,0.1144,0.1144,15904000
1/22/81,0.1157,0.1166,0.1157,0.1157,35548800
1/23/81,0.1157,0.1161,0.1152,0.1152,11222400
1/26/81,0.1139,0.1139,0.1135,0.1135,24640000
1/27/81,0.1135,0.1135,0.1126,0.1126,23699200
1/28/81,0.1095,0.1095,0.1091,0.1091,28156800
1/29/81,0.1056,0.1056,0.1051,0.1051,43904000
1/30/81,0.1003,0.1003,0.0994,0.0994,46188800
2/2/81,0.0941,0.0941,0.0937,0.0937,23766400
2/3/81,0.0972,0.0977,0.0972,0.0972,19152000
2/4/81,0.1007,0.1012,0.1007,0.1007,27865600
2/5/81,0.1007,0.1016,0.1007,0.1007,7929600
2/6/81,0.1012,0.1016,0.1012,0.1012,13865600
2/9/81,0.0968,0.0968,0.0959,0.0959,16755200
2/10/81,0.0959,0.0964,0.0959,0.0959,18345600
2/11/81,0.0933,0.0933,0.0928,0.0928,13843200
2/12/81,0.0924,0.0924,0.092,0.092,14560000
2/13/81,0.0906,0.0906,0.0897,0.0897,11155200
2/17/81,0.092,0.0924,0.092,0.092,12275200
2/18/81,0.0959,0.0968,0.0959,0.0959,19241600
2/19/81,0.0906,0.0906,0.0902,0.0902,22310400
2/20/81,0.0858,0.0858,0.0853,0.0853,24371200
2/23/81,0.0866,0.0871,0.0866,0.0866,14112000
2/24/81,0.0845,0.0845,0.0836,0.0836,16979200
2/25/81,0.0889,0.0893,0.0889,0.0889,19488000
2/26/81,0.0902,0.0906,0.0902,0.0902,10841600
2/27/81,0.0933,0.0941,0.0933,0.0933,14761600
3/2/81,0.0937,0.0941,0.0937,0.0937,11760000
3/3/81,0.0928,0.0928,0.0924,0.0924,16172800
3/4/81,0.092,0.092,0.0915,0.0915,13708800
3/5/81,0.0915,0.0915,0.091,0.091,5376000
3/6/81,0.091,0.091,0.0902,0.0902,11603200
3/9/81,0.0836,0.0836,0.0832,0.0832,15321600
3/10/81,0.0796,0.0796,0.0792,0.0792,28380800
3/11/81,0.077,0.077,0.0761,0.0761,29859200
3/12/81,0.0792,0.0796,0.0792,0.0792,59248000
3/13/81,0.0787,0.0787,0.0783,0.0783,231302400
3/16/81,0.0814,0.0822,0.0814,0.0814,37228800
3/17/81,0.0853,0.0862,0.0853,0.0853,43747200
3/18/81,0.0906,0.0915,0.0906,0.0906,36937600
3/19/81,0.0902,0.0902,0.0897,0.0897,37811200
3/20/81,0.0906,0.0915,0.0906,0.0906,14604800
3/23/81,0.0941,0.095,0.0941,0.0941,22019200
3/24/81,0.0941,0.0941,0.0937,0.0937,28156800
3/25/81,0.0928,0.0928,0.092,0.092,7056000
3/26/81,0.0906,0.0906,0.0902,0.0902,12275200
3/27/81,0.0876,0.0876,0.0871,0.0871,12252800
3/30/81,0.0871,0.088,0.0871,0.0871,9900800
3/31/81,0.0871,0.0871,0.0862,0.0862,15993600
4/1/81,0.0858,0.0858,0.0853,0.0853,34070400
4/2/81,0.0928,0.0933,0.0928,0.0928,31404800
4/3/81,0.0933,0.0937,0.0933,0.0933,16486400
4/6/81,0.092,0.092,0.0915,0.0915,22803200
4/7/81,0.091,0.091,0.0906,0.0906,10684800
4/8/81,0.095,0.0959,0.095,0.095,21952000
4/9/81,0.0968,0.0972,0.0968,0.0968,12499200
4/10/81,0.0981,0.0985,0.0981,0.0981,33465600
4/13/81,0.0981,0.0985,0.0981,0.0981,16060800
4/14/81,0.0981,0.0985,0.0981,0.0981,6652800
4/15/81,0.0937,0.0937,0.0933,0.0933,34048000
4/16/81,0.0884,0.0884,0.088,0.088,23878400
4/20/81,0.0906,0.091,0.0906,0.0906,35347200
4/21/81,0.0968,0.0972,0.0968,0.0968,28537600
4/22/81,0.1003,0.1007,0.1003,0.1003,18995200
4/23/81,0.1029,0.1034,0.1029,0.1029,58016000
4/24/81,0.1029,0.1029,0.1021,0.1021,35056000
4/27/81,0.1016,0.1016,0.1012,0.1012,38528000
4/28/81,0.0999,0.0999,0.0994,0.0994,32188800
