date,open,high,low,close,volume
10/1/99,9.3996,9.5675,9.3996,9.4869,3162400
10/4/99,9.3996,9.4869,9.3996,9.4399,533400
10/5/99,9.4399,9.5272,9.3996,9.5272,270600
10/6/99,9.4869,9.9904,9.4869,9.9904,205400
10/7/99,9.9904,9.9904,9.4399,9.4869,214200
10/8/99,9.5272,9.5272,9.4399,9.4399,65600
10/11/99,9.4399,9.4869,9.3996,9.4399,77500
10/12/99,9.4399,9.4869,9.3996,9.4869,49200
10/13/99,9.4869,9.6547,9.3996,9.4399,49900
10/14/99,9.3996,9.4399,8.8961,9.1512,430900
10/15/99,8.8155,8.8558,8.5201,8.7685,158200
10/18/99,8.7282,8.7282,8.3925,8.6006,83800
10/19/99,8.5604,8.8961,8.5604,8.8961,58200
10/20/99,8.9833,9.0639,8.8155,8.8155,62600
10/21/99,8.8155,9.0236,8.7282,9.0236,98200
10/22/99,8.9833,9.1042,8.9363,9.0639,191200
10/25/99,9.0236,9.3593,9.0236,9.3593,153100
10/26/99,9.272,9.4869,9.272,9.3996,65600
10/27/99,9.3996,9.5272,9.3996,9.4399,100900
10/28/99,9.5272,9.7353,9.4869,9.4869,255300
10/29/99,9.4869,10.2389,9.4869,10.2389,123200
11/1/99,10.071,10.071,9.8226,9.9032,41800
11/2/99,9.9032,9.9904,9.6077,9.9032,66600
11/3/99,9.8629,9.9904,9.8629,9.9032,18500
11/4/99,9.9904,10.1583,9.7353,10.0307,72100
11/5/99,10.071,10.6618,9.9904,10.5746,122900
11/8/99,10.6618,11.6689,10.6148,11.1654,240000
11/9/99,11.246,11.246,10.8297,10.8297,42400
11/10/99,10.7424,10.8297,10.6148,10.7827,59900
11/11/99,10.7827,10.9103,10.7827,10.8297,20000
11/12/99,10.9103,12.4209,10.9103,12.0852,248500
11/15/99,12.2128,12.2128,11.7495,11.8771,99200
11/16/99,11.8771,11.8771,11.6689,11.7092,95300
11/17/99,11.8771,12.2531,11.5817,11.7495,107900
11/18/99,11.7495,11.7495,11.5817,11.5817,67500
11/19/99,11.5817,11.9174,11.5414,11.8368,31200
11/22/99,11.7898,12.0046,11.7898,11.9576,36500
11/23/99,11.9576,13.0117,11.9576,12.8439,65500
11/24/99,12.7566,12.7566,12.3403,12.4612,53800
11/26/99,12.4209,12.4209,12.3403,12.3806,2600
11/29/99,12.3403,12.3403,12.0046,12.1725,20200
11/30/99,12.2128,12.4209,12.2128,12.3403,38100
12/1/99,12.3403,12.5082,12.2531,12.4612,43800
12/2/99,12.4612,12.7566,12.4612,12.7566,33200
12/3/99,12.8439,13.0117,12.7969,12.8842,62000
12/6/99,12.8842,12.8842,12.2531,12.3403,38200
12/7/99,12.4209,12.7566,12.3806,12.5082,112500
12/8/99,12.4209,12.4209,12.0852,12.2128,27700
12/9/99,12.2531,12.3403,12.1725,12.2531,15500
12/10/99,12.1725,12.1725,11.8368,11.8368,22400
12/13/99,11.9174,12.0852,11.7092,11.7092,44500
12/14/99,11.5817,11.5817,11.4541,11.5011,19400
12/15/99,11.5011,11.5011,11.3332,11.5011,11100
12/16/99,11.4541,11.5817,11.2862,11.2862,90700
12/17/99,11.2057,11.5817,11.2057,11.4944,37300
12/20/99,11.4138,11.4138,11.2862,11.3735,31300
12/21/99,11.3735,11.4541,11.3332,11.4138,11800
12/22/99,11.5011,11.6689,11.5011,11.5414,6300
12/23/99,11.5414,11.5817,11.4138,11.5011,3700
12/27/99,11.4541,11.5011,11.4541,11.5011,2400
12/28/99,11.4541,11.8368,11.4541,11.6689,65600
12/29/99,11.7092,11.7092,11.5011,11.5817,9600
12/30/99,11.5011,11.6689,11.5011,11.6219,5100
12/31/99,11.5817,11.6689,11.5414,11.5414,13000
1/3/00,11.7092,11.7495,11.1587,11.1587,64600
1/4/00,11.1654,11.1654,10.494,10.6618,81900
1/5/00,10.494,10.494,10.071,10.2791,38100
1/6/00,10.5746,10.9103,10.5746,10.7424,41200
1/7/00,10.6618,10.9103,10.5746,10.6618,34700
1/10/00,11.0781,11.0781,10.7424,10.7424,94200
1/11/00,10.8297,11.3332,10.7424,11.0378,39700
1/12/00,11.0781,11.5011,11.0781,11.5011,25100
1/13/00,11.5817,11.7495,11.3332,11.3735,62000
1/14/00,11.4138,11.9174,11.3332,11.7495,183100
1/18/00,11.9174,12.2531,11.9174,12.0852,77300
1/19/00,12.0852,12.3403,12.0449,12.2531,34500
1/20/00,12.2531,12.2531,11.6689,11.7495,42200
1/21/00,11.7092,11.7495,11.5817,11.6689,16000
1/24/00,11.7495,11.7495,11.4138,11.5011,10700
1/25/00,11.5011,11.7495,11.4541,11.5817,19200
1/26/00,11.5817,11.7495,11.5817,11.7092,16600
1/27/00,11.7092,12.0852,11.7092,11.7495,33600
1/28/00,11.8368,11.8368,11.6219,11.6689,3900
1/31/00,11.5011,11.7495,11.5011,11.7495,53900
2/1/00,11.6689,11.9174,11.6689,11.9174,15400
2/2/00,12.0852,12.1725,12.0046,12.0449,92700
2/3/00,12.1255,12.1725,12.0449,12.0852,35200
2/4/00,12.1725,12.4612,12.1725,12.3403,51500
2/7/00,12.3806,12.4612,12.3403,12.4209,25200
2/8/00,12.4209,12.676,12.4209,12.4612,45300
2/9/00,12.5888,12.5888,12.3403,12.3403,9100
2/10/00,12.4209,12.4209,12.0046,12.0046,9700
2/11/00,12.0046,12.0852,12.0046,12.0449,24700
2/14/00,12.1255,12.1255,12.0046,12.0852,7100
2/15/00,12.0046,12.0852,12.0046,12.0046,4900
2/16/00,12.0046,12.4209,12.0046,12.4209,69000
2/17/00,12.4209,12.5485,12.2933,12.3403,28100
2/18/00,12.3403,12.4612,12.3403,12.4209,5000
2/22/00,12.5082,12.629,12.4612,12.4612,10700
2/23/00,12.4612,12.7163,12.4612,12.629,5700
2/24/00,12.676,12.8439,12.676,12.7566,61800
2/25/00,12.7566,12.9245,12.7566,12.9245,41400
2/28/00,12.9245,13.5153,12.9245,13.5153,35700
2/29/00,14.603,14.6902,14.5224,14.6902,79900
3/1/00,15.1065,15.2744,14.603,14.603,140600
3/2/00,14.7708,14.9387,14.7708,14.8111,26600
3/3/00,14.8581,14.8581,14.8111,14.8581,17300
3/6/00,14.8111,14.9387,14.8111,14.8111,9900
3/7/00,14.8581,14.8581,14.603,14.7708,26200
3/8/00,14.7708,14.8984,14.7708,14.7708,31700
3/9/00,14.6902,14.7708,14.603,14.7708,7800
3/10/00,14.7708,14.8581,14.7305,14.8581,5200
3/13/00,15.0259,15.5295,14.9387,15.3616,27900
3/14/00,15.3616,15.4422,15.3616,15.3616,1300
3/15/00,15.5295,16.2009,15.1938,16.2009,29000
3/16/00,16.2009,16.785,16.2009,16.3687,19500
3/17/00,15.6973,16.6172,15.6973,16.6172,73300
3/20/00,16.1136,16.2815,16.033,16.1136,134700
3/21/00,15.9458,16.1136,15.9458,16.1136,172200
3/22/00,15.9458,15.9458,15.1938,15.1938,35900
3/23/00,15.1938,15.1938,15.1065,15.1065,1300
3/24/00,15.1065,15.1065,15.0259,15.0662,5600
3/27/00,14.8984,14.8984,14.7708,14.8111,19600
3/28/00,14.8111,14.8111,13.2602,13.428,42600
3/29/00,13.2602,13.3474,13.2602,13.2602,77000
3/30/00,13.3004,13.7637,13.3004,13.7234,18700
3/31/00,13.7234,13.7234,13.5959,13.5959,23500
4/3/00,13.5959,13.8913,13.5959,13.851,4000
4/4/00,13.851,14.0188,13.851,13.9316,77700
4/5/00,13.9316,14.3948,13.851,14.3948,32700
4/6/00,14.3545,15.0662,14.1867,15.0259,12500
4/7/00,14.9387,16.409,14.9387,16.2815,44500
4/10/00,16.2815,16.2815,16.1136,16.1136,16100
4/11/00,16.2009,16.2009,16.1136,16.1539,6300
