date,open,high,low,close,volume
9/22/14,4.75,4.75,4.1001,4.35,21900
9/23/14,4.45,4.45,3.9,4.26,81700
9/24/14,3.7002,4.34,3.61,4.34,93922
9/25/14,4.35,4.44,3.8,4,29760
9/26/14,4,4.4,4,4.4,161486
9/29/14,4.3899,4.3899,4,4.23,138666
9/30/14,4.14,4.25,4,4.21,26059
10/1/14,4.21,4.21,4.03,4.1,105903
10/2/14,4.0804,4.27,3.7401,4.27,32502
10/3/14,4,4.29,3.91,4.15,38348
10/6/14,3.9,4.16,3.77,4.13,14260
10/7/14,3.95,4.05,3.94,4,15162
10/8/14,4.22,4.26,3.95,4.25,94120
10/9/14,4.06,4.11,4,4.1,115033
10/10/14,3.9925,4.0646,3.95,4,12245
10/13/14,4,4,3.9,3.9849,16086
10/14/14,4,4.02,3.7801,4,33372
10/15/14,3.75,4.05,3.75,4,88170
10/16/14,3.86,4.03,3.86,3.96,7600
10/17/14,4.04,4.05,3.9433,4,11790
10/20/14,3.97,4.08,3.91,4.045,8489
10/21/14,3.92,4.08,3.92,4.01,187361
10/22/14,4.03,4.11,3.93,4.06,44358
10/23/14,4.09,4.14,4.04,4.04,41199
10/24/14,4.1,4.1,4.01,4.1,28573
10/27/14,4.04,4.21,4.04,4.15,6735
10/28/14,3.97,4.15,3.97,4.15,18153
10/29/14,4.07,4.12,4.04,4.04,2510
10/30/14,4.03,4.15,4.03,4.07,6021
10/31/14,4.15,4.15,4.06,4.12,2515
11/3/14,4.18,4.25,4.11,4.24,34832
11/4/14,4.2,4.2282,4.2,4.2,39237
11/5/14,4.205,4.3,4.2,4.27,27163
11/6/14,4.246,4.29,4.21,4.24,34136
11/7/14,4.2101,4.29,4.2001,4.24,79440
11/10/14,4.22,4.2238,4.2,4.2,2771
11/11/14,4.21,4.28,4.2,4.2,6462
11/12/14,4.22,4.333,4.22,4.27,74338
11/13/14,4.25,4.4,4.25,4.31,18909
11/14/14,4.33,4.33,4.11,4.32,21089
11/17/14,4.31,4.31,4.21,4.26,7156
11/18/14,4.27,4.3,4.16,4.25,21054
11/19/14,4.18,4.25,4.18,4.2,4904
11/20/14,4.15,4.21,4.15,4.21,4948
11/21/14,4.25,4.3,4.17,4.3,11664
11/24/14,4.24,4.31,4.2,4.31,1900
11/25/14,4.3,4.3,4.06,4.22,3211
11/26/14,4.0518,4.2,4.02,4.14,9527
11/28/14,4.14,4.14,4.14,4.14,100
12/1/14,4,4.31,4,4.18,7560
12/2/14,4.17,4.28,4.04,4.27,9781
12/3/14,4.06,4.28,4,4.28,6440
12/4/14,4.28,4.28,4.08,4.265,23291
12/5/14,4.27,4.27,4.17,4.24,8653
12/8/14,4.2,4.2,4.02,4.14,48802
