date,open,high,low,close,volume
3/13/86,0.0566,0.0649,0.0566,0.0621,1031788800
3/14/86,0.0621,0.0654,0.0621,0.0643,308160000
3/17/86,0.0643,0.066,0.0643,0.0654,133171200
3/18/86,0.0654,0.066,0.0632,0.0638,67766400
3/19/86,0.0638,0.0643,0.0621,0.0627,47894400
3/20/86,0.0627,0.0627,0.0604,0.061,58435200
3/21/86,0.061,0.0621,0.0582,0.0593,59990400
3/24/86,0.0593,0.0593,0.0571,0.0577,65289600
3/25/86,0.0577,0.0588,0.0571,0.0588,32083200
3/26/86,0.0588,0.061,0.0582,0.0604,22752000
3/27/86,0.0604,0.0615,0.0604,0.0615,16848000
3/31/86,0.0615,0.0615,0.0599,0.061,12873600
4/1/86,0.061,0.061,0.0604,0.0604,11088000
4/2/86,0.0604,0.0621,0.0604,0.061,27014400
4/3/86,0.0615,0.0632,0.0615,0.0615,23040000
4/4/86,0.0615,0.0621,0.0615,0.0615,26582400
4/7/86,0.0615,0.0621,0.0593,0.0604,16560000
4/8/86,0.0604,0.0621,0.0604,0.061,10252800
4/9/86,0.061,0.0627,0.061,0.0621,12153600
4/10/86,0.0621,0.0632,0.061,0.0627,13881600
4/11/86,0.0632,0.0649,0.0632,0.0638,17222400
4/14/86,0.0638,0.0649,0.0638,0.0643,12153600
4/15/86,0.0643,0.0643,0.0621,0.0643,9302400
4/16/86,0.0643,0.0671,0.0638,0.0665,31910400
4/17/86,0.0665,0.0671,0.0665,0.0671,22003200
4/18/86,0.0671,0.0671,0.0643,0.0649,21628800
4/21/86,0.0649,0.0654,0.0632,0.0649,22924800
4/22/86,0.0649,0.0649,0.0638,0.0638,15552000
4/23/86,0.0638,0.0643,0.0632,0.064,15609600
4/24/86,0.064,0.0715,0.0638,0.0704,62352000
4/25/86,0.071,0.0779,0.071,0.0749,85795200
4/28/86,0.0749,0.076,0.0743,0.0754,28886400
4/29/86,0.0754,0.0754,0.0726,0.0732,30326400
4/30/86,0.0732,0.0737,0.0699,0.0715,30902400
5/1/86,0.0715,0.0715,0.0693,0.0704,54345600
5/2/86,0.0704,0.0715,0.0699,0.0704,20246400
5/5/86,0.0704,0.0704,0.0699,0.0699,3254400
5/6/86,0.0704,0.0715,0.0704,0.0704,9734400
5/7/86,0.0704,0.071,0.0693,0.0704,5155200
5/8/86,0.0704,0.071,0.0699,0.071,3542400
5/9/86,0.071,0.071,0.0704,0.0704,6076800
5/12/86,0.0704,0.0726,0.0704,0.071,10483200
5/13/86,0.071,0.0721,0.071,0.0715,3830400
5/14/86,0.0715,0.0715,0.071,0.071,9302400
5/15/86,0.071,0.0721,0.071,0.071,3801600
5/16/86,0.071,0.0732,0.071,0.0715,11952000
5/19/86,0.0715,0.0715,0.0699,0.0704,11001600
