date,open,high,low,close,volume
6/29/10,3.8,5,3.508,4.778,93831500
6/30/10,5.158,6.0838,4.66,4.766,85935500
7/1/10,5,5.184,4.054,4.392,41094000
7/2/10,4.6,4.62,3.742,3.84,25699000
7/6/10,4,4,3.166,3.222,34334500
7/7/10,3.28,3.326,2.996,3.16,34608500
7/8/10,3.228,3.504,3.114,3.492,38557000
7/9/10,3.516,3.58,3.31,3.48,20253000
7/12/10,3.59,3.614,3.4,3.41,11012500
7/13/10,3.4788,3.728,3.38,3.628,13400500
7/14/10,3.588,4.03,3.552,3.968,20976000
7/15/10,3.988,4.3,3.8,3.978,18699000
7/16/10,4.14,4.26,4.01,4.128,13106500
7/19/10,4.274,4.45,4.184,4.382,12432500
7/20/10,4.37,4.37,4.01,4.06,9126500
7/21/10,4.132,4.18,3.9,4.044,6262500
7/22/10,4.1,4.25,4.074,4.2,4789000
7/23/10,4.238,4.312,4.212,4.258,3268000
7/26/10,4.3,4.3,4.06,4.19,4611000
7/27/10,4.182,4.236,4.052,4.11,3098500
7/28/10,4.11,4.18,4.102,4.144,2336000
7/29/10,4.154,4.176,4,4.07,3080000
7/30/10,4.04,4.088,3.91,3.988,2134500
8/2/10,4.1,4.194,4.0666,4.184,3590500
8/3/10,4.2,4.39,4.164,4.39,6152500
8/4/10,4.39,4.436,4.17,4.252,4565000
8/5/10,4.308,4.31,4.01,4.09,3981000
8/6/10,4.02,4.032,3.904,3.918,3709500
8/9/10,3.98,3.996,3.89,3.92,4063500
8/10/10,3.93,3.93,3.764,3.806,6406500
8/11/10,3.738,3.776,3.57,3.58,3988000
8/12/10,3.56,3.58,3.478,3.52,3455000
8/13/10,3.636,3.69,3.5321,3.664,3170000
8/16/10,3.69,3.76,3.6523,3.756,2429000
8/17/10,3.792,3.88,3.756,3.83,2239500
8/18/10,3.918,3.918,3.72,3.754,3006500
8/19/10,3.708,3.85,3.666,3.758,2895500
8/20/10,3.73,3.822,3.702,3.82,1480000
8/23/10,3.818,4.0778,3.8,4.026,5440500
8/24/10,3.85,3.942,3.79,3.84,3365500
8/25/10,3.832,3.996,3.712,3.98,2516500
8/26/10,3.978,4.054,3.92,3.95,2169000
8/27/10,3.95,3.973,3.9,3.94,1898000
8/30/10,3.94,4.038,3.922,3.974,3664000
8/31/10,3.932,3.958,3.866,3.896,1005500
9/1/10,3.924,4.138,3.92,4.09,2474500
9/2/10,4.074,4.248,4.0621,4.212,2435500
9/3/10,4.174,4.26,4.132,4.21,2173000
9/7/10,4.122,4.2,4.1,4.108,1217000
9/8/10,4.132,4.19,4.12,4.18,1442000
9/9/10,4.2,4.21,4.138,4.142,1881000
9/10/10,4.15,4.186,3.952,4.034,1933000
9/13/10,4.178,4.1799,4.1,4.144,1804000
9/14/10,4.108,4.32,4.106,4.224,3273500
9/15/10,4.196,4.4,4.158,4.396,3423000
9/16/10,4.43,4.632,4.168,4.188,13422500
9/17/10,4.204,4.264,3.96,4.046,5992500
9/20/10,4.134,4.27,4.032,4.211,4737500
9/21/10,4.178,4.31,4.134,4.154,3980000
9/22/10,4.174,4.19,3.96,3.974,4814500
9/23/10,3.978,4.028,3.9,3.912,3340500
9/24/10,3.99,4.038,3.93,4.02,2894500
9/27/10,4.08,4.162,4.01,4.106,2093000
9/28/10,4.208,4.298,4.152,4.28,6072500
9/29/10,4.238,4.406,4.226,4.396,9846500
9/30/10,4.4,4.43,4.038,4.081,10979000
10/1/10,4.138,4.15,4.062,4.12,2988500
10/4/10,4.086,4.234,4.06,4.198,3218000
10/5/10,4.23,4.256,4.202,4.224,1660000
10/6/10,4.212,4.2516,4.064,4.092,1567000
10/7/10,4.114,4.128,4.068,4.086,705000
10/8/10,4.086,4.158,4.078,4.086,1339000
10/11/10,4.088,4.1398,4.014,4.048,856000
10/12/10,4.04,4.0566,4.006,4.048,1220000
10/13/10,4.128,4.17,4.072,4.108,1591000
